University Of Southern California (USC),Finance,PhD (F19),Other, Other,27 Mar 2019,,,,,,U,27 Mar 2019,TPB: They have 12 candidates interviewed on-campus yesterday (3/26) for 3~4 slots.
Columbia University,Business Analytics,Masters (F19),Accepted, E-mail,26 Mar 2019,  3.58,147.0,164.0,4.0,,I,27 Mar 2019,
London Business School,Strategy,PhD (F19),Accepted, E-mail,27 Mar 2019,,,,,,I,27 Mar 2019,
Bocconi University,Business Administration And Management,PhD (F19),Other, Other,27 Mar 2019,,,,,,I,26 Mar 2019,"To the poster below, Bocconi gives a 4-year fellowship, which is free money. Around Ã¢ÂÂ¬20,000 each for the first two years and around Ã¢ÂÂ¬15,000 each for the last two years before a 11.41% deduction to the social security. Plus, you have an option to earn extra money from TA/RA work from year 2 onwards. 

I personally got an offer of admission from a top 35 business school in the US, but politely turned it down and chose Bocconi. This is mainly because they gave me full funding in the form of big assistantships that would require me to work 20 hours a week during term time, and a (very) small scholarship."
University Of Southern California (USC),Finance,PhD (F19),Other, Other,26 Mar 2019,,,,,,O,26 Mar 2019,"Has anyone heard back from USC Finance PhD? I asked the coordinator (Ozbas) about my status via email, but he did not reply."
"University Of Washington, Seattle (UW)",Business Analytics,Masters (S19),Accepted, E-mail,26 Mar 2019,,,,,,A,26 Mar 2019,
McGill University,Business Analytics,Masters (F19),Other, Other,26 Mar 2019,,,,,,,26 Mar 2019,Any reply yet? this waiting is unbearable. I have been waiting for months. Please share
Fordham University,Business Administration,PhD (F19),Rejected, E-mail,22 Mar 2019,,,,,,A,26 Mar 2019,
Simon Fraser University (SFU),Business Administration,PhD (F19),Rejected, E-mail,22 Mar 2019,,,,,,I,26 Mar 2019,
University Of Southern California (USC),Marketing,Masters (F19),Rejected, Website,26 Mar 2019,,,,,,I,26 Mar 2019,
University Of Pittsburgh,Marketing Analytics,Masters (F19),Rejected, Website,6 Mar 2019,  3.00,156.0,157.0,4.0,,I,26 Mar 2019,"I think i got this reject mainly because i missed my interview. Apart from that, my application was strong and fit for the program."
Columbia University,Business Analytics,Masters (F19),Other, Other,26 Mar 2019,,,,,,I,26 Mar 2019,Haven't heard since the interview in Feb. One of my recommenders got a verification mail. Apart from that nothing
Columbia University,Business Analytics,Masters (F19),Accepted, E-mail,25 Mar 2019,,,,,,U,25 Mar 2019,
Columbia University,Business Analytics,Masters (F19),Accepted, E-mail,25 Mar 2019,,,,,,,25 Mar 2019,
Columbia University,Business Analytics,Masters (F19),Accepted, E-mail,25 Mar 2019,,,,,,I,25 Mar 2019,
Carnegie Mellon University (CMU),Financial Economics,PhD (F19),Other, Other,25 Mar 2019,,,,,,,25 Mar 2019,TPB: did anyone get contacted after the second shortlist. i.e Did the interviewed candidates got the offer or the waitlisted candidates get any mail?
Columbia University,Business Analytics,Masters (F19),Other, Other,25 Mar 2019,,,,,,,25 Mar 2019,TTBP: I thought it was very high. The conversion rate I mean. But I havenÃ¢ÂÂt seen any post from someone who hasnÃ¢ÂÂt got the interview.
Columbia University,Business Analytics,Masters (F19),Interview, Other,25 Mar 2019,,,,,,O,25 Mar 2019,"TTP(s)B: Same! Hadn't heard since the interview in Feb. Had emailed the office and they said that the results will be out by March end. Any idea about the conversion rate for interviewed candidates?
"
Columbia University,Business Analytics,Masters (F19),Other, Other,23 Mar 2019,,,,,,,23 Mar 2019,To the poster below: I am in the same boat as you. I mailed the ieor department about this course. They said that they are still reviewing and the decisions will be out in the next few weeks!
Columbia University,Business Analytics,Masters (F19),Other, Other,23 Mar 2019,,,,,,I,23 Mar 2019,Anyone still hasnÃ¢ÂÂt received the email saying that your application has been sent for review yet? I submitted since November and havenÃ¢ÂÂt received any communications after that besides the interview invitation. I thought the Columbia might have different definition for Ã¢ÂÂrolling admissionÃ¢ÂÂ
Georgia Institute Of Technology (GaTech),Business Analytics,Masters (F19),Other, Other,23 Mar 2019,,,,,,I,23 Mar 2019,Hello guys. Is there any chance of admission if I didnÃ¢ÂÂt receive a email about being in the waitlist? Did Gatech send any rejection this year? Thanks a lot!
University Of Arizona,Business Analytics,Masters (F19),Rejected, E-mail,21 Mar 2019,  3.12,154.0,167.0,3.0,321.0,I,23 Mar 2019,"Help!!!!!  I have something to ask all you guys, I really want to go to this university, and I applied 3 programs and they were all rejected, what else should I do to apply UA, to contact with the committee directly? Or who knows about the MPA in UA. Thanks a lot!!!!"
Purdue University,Business Analytics,Masters (F19),Rejected, E-mail,12 Mar 2019,,,,,,U,22 Mar 2019,"Rejected two weeks after the interview. Disappointed. I am senior now in Purdue, and I think I did quite well during the interview. idk why I was rejected"
Carnegie Mellon University (CMU),Financial Economics,PhD (F19),Other, Other,22 Mar 2019,,,,,,,22 Mar 2019,"TPB: Do you mean the first or the second shortlist? They contacted a first shortlist to ask/confirm their interest, and afterwards split that group into a second shortlist (interviewed) and a waitlist."
Carnegie Mellon University (CMU),Financial Economics,PhD (F19),Other, Other,22 Mar 2019,,,,,,,22 Mar 2019,Did anyone from the shortlisted candidates hear back from grad office?
University Of Southern California (USC),Marketing,PhD (F19),Rejected, E-mail,22 Mar 2019,,,,,,A,22 Mar 2019,
University Of Arizona,Business Analytics,Masters (F19),Accepted, E-mail,22 Mar 2019,,,,,,A,22 Mar 2019,I was the one who posted the stats below. They apparently sent me the wrong email and I actually got accepted.
University Of Arizona,Business Analytics,Masters (F19),Rejected, E-mail,21 Mar 2019,,,,,,A,21 Mar 2019,"710 GMAT, 4.0 grad GPA, 2.9 uGPA, ~2 years work in data quality. Sigh"
Stockholm School Of Economics (SSE),Business Administration,PhD (F19),Other, Other,21 Mar 2019,,,,,,O,21 Mar 2019,Has anyone heard back from SSE - PhD in Business Administration program?
Carnegie Mellon University (CMU),Financial Economics | Finance,PhD (F19),Other, Other,21 Mar 2019,,,,,,,21 Mar 2019,I understand there's an interview list and a waitlist. Has anyone been contacted? Thank you in advance for replying.
Columbia University,Decision Risk And Operations (DRO),PhD (F19),Other, Other,21 Mar 2019,,,,,,,21 Mar 2019,TTPB who got DRO offer from their waitlist: Congratulations! May I know when (the time in the day) and who informed you of this offer? Are you going to accept this one? Thank you for sharing your information!
Columbia University,Decision Risk And Operations (DRO),PhD (F19),Accepted, E-mail,20 Mar 2019,  4.00,169.0,170.0,5.5,930.0,U,20 Mar 2019,Was waitlisted a month ago.
Dalhousie University,Business Administration,MBA (S19),Accepted, E-mail,19 Mar 2019,,,,,,,20 Mar 2019,Canadian.  Starting program in May.
University Of British Columbia (UBC),Business Administration,PhD (F19),Other, Other,20 Mar 2019,,,,,,O,20 Mar 2019,"Anyone who has done the interview for UBC PhD Business Administration F19?
TPB: Which specialization did you choose? Mine was Finance"
Virginia Tech,Business Information Technology,PhD (F19),Other, E-mail,20 Mar 2019,,,,,,U,19 Mar 2019,Did anyone hear from admission for this program? It's almost end march and I have not head anything. It's frustrating to wait without any notice or anything.
University Of Southern California (USC),Master In Global Supply Chain Management,Masters (F19),Accepted, E-mail,24 Jan 2019,  2.90,160.0,156.0,0.0,,A,19 Mar 2019,
University Of British Columbia (UBC),Business Administration,PhD (F19),Other, Other,19 Mar 2019,,,,,,I,19 Mar 2019,"TPB: no, nothing from UBC... Did anyone have an interview?"
University Of British Columbia (UBC),Business Administration,PhD (F19),Other, Other,19 Mar 2019,,,,,,I,19 Mar 2019,Anyone Received results for UBC Sauder PhD Business Administration for F19?
Carnegie Mellon University (CMU),Financial Economics,PhD (F19),Other, Other,19 Mar 2019,,,,,,,19 Mar 2019,"For the applicants who have been given offer but have more preferable options, I kindly urge you to please decline CMU ASAP! CMU is my dream school and I really hope to join. I would be grateful to you. Thanks in advance"
Carnegie Mellon University (CMU),Financial Economics,PhD (F19),Other, Other,19 Mar 2019,,,,,,,19 Mar 2019,Did anyone hear from phd program for Financial economics?
Carnegie Mellon University (CMU),Business Technologies,PhD (F19),Other, E-mail,19 Mar 2019,,,,,,,19 Mar 2019,"To the post below, did you go through an interview? Any contacts from Marketing? How many people they're accepting for Marketing this year?  It seems there is no graduates next year for BT. Does it mean they don't accept anybody next year?"
Carnegie Mellon University (CMU),Business Technologies,PhD (F19),Other, E-mail,19 Mar 2019,,,,,,,19 Mar 2019,"To the post below, did you go through an interview? Any contacts from Marketing? How many people they're accepting for Marketing this year?  It seems there is no graduates next year for BT. Does it mean they don't accept anybody next year?"
Carnegie Mellon University (CMU),"Business Technologies, PhD (F19)",PhD (F19),Other, E-mail,19 Mar 2019,,,,,,A,19 Mar 2019,"To the post below, did you do the interview? Did Marketing also contact you?"
Carnegie Mellon University (CMU),Business Technologies,PhD (F19),Rejected, E-mail,18 Mar 2019,,,,,,A,19 Mar 2019,"Also applied for marketing. Really bummed out about this one, was my top pick. Business technologies actually only had room for a single student, so the profs I spoke to advised I also apply to marketing."
University Of British Columbia (UBC),Business Administration,Masters (F19),Other, Other,19 Mar 2019,,,,,,I,19 Mar 2019,"I haven't received any replies from the MSCB branch yet.
Has anyone heard from Admissions Office ?"
Carnegie Mellon University (CMU),Marketing,PhD (F19),Other, Other,19 Mar 2019,,,,,,,18 Mar 2019,"TPB: CB. Check your spam, it might be there."
