"University Of North Carolina, Chapel Hill (UNC)",English,PhD (F19),Accepted, E-mail,27 Mar 2019,,,,,,A,27 Mar 2019,Admitted off waitlist!
Villanova University,English,Masters (F19),Accepted, E-mail,27 Mar 2019,  3.80,160.0,149.0,5.5,590,A,26 Mar 2019,Email from Evan Radcliffe notifying me of my acceptance! He said funding should come out hopefully by the end of the week.
Memorial University Of Newfoundland (MUN),English Literature,PhD (F19),Rejected, E-mail,26 Mar 2019,,,,,,A,26 Mar 2019,Disappointed. Would've loved to go here.
Brown University,English,PhD (F19),Other, Other,26 Mar 2019,,,,,,,26 Mar 2019,"To the Brown poster below- The official recruitment visit was held last week on March 19-20. Since the institution is currently on spring recess, responses to inquiries about waitlist movement might be delayed until next week."
Brown University,English,PhD (F19),Other, Other,26 Mar 2019,,,,,,A,26 Mar 2019,"I was waitlisted here several weeks ago.  Anyone have any word on waitlist movement, etc?  Visit dates?  TIA."
Brandeis University,English,PhD (F19),Accepted, Phone,15 Feb 2019, ,170.0,163.0,5.0,720,U,26 Mar 2019,Been a while since I received the notification. Posting here for future reference.
"University Of Florida, Gainesville (UFL)",English,PhD (F19),Accepted, E-mail,22 Mar 2019,,,,,,I,25 Mar 2019,
American University,Teaching English To Speakers Of Other Languages,Masters (F19),Accepted, E-mail,25 Mar 2019,,,,,,A,25 Mar 2019,
University Of Delaware,English,PhD (F19),Accepted, Phone,25 Mar 2019,  4.00,168.0,151.0,5.0,,A,25 Mar 2019,Accepted off wait list! Lovely phone call. Thank you to whomever declined their acceptance! I am so happy!
Fordham University,English,PhD (F19),Wait listed, E-mail,25 Mar 2019,,,,,,A,25 Mar 2019,"I was waitlisted here and will be attending U Chicago, so I have declined the waitlist offer. I hope this helps someone. 

(The admissions process is so weird and fit matters above all else. I have been rejected by all the top 50 schools I applied to, and accepted into all the top 10 schools I applied to. Fit matters, GRE doesnÃ¢ÂÂt.)"
"University Of North Carolina, Chapel Hill (UNC)",English,PhD (F19),Accepted, E-mail,25 Mar 2019,  3.80,166.0,161.0,4.5,610,A,25 Mar 2019,"Accepted off the waitlist.  Very kind, personalized notification from DGA with English Dept. acceptance letter attached"
Purdue University,English,Masters (F19),Wait listed, E-mail,25 Mar 2019,,,,,,,25 Mar 2019,Near top of waitlist. If youÃ¢ÂÂre not going plssssss let them know as this was a first choiceeee
"Washington University, St. Louis (WUSTL)",English,PhD (F19),Wait listed, E-mail,15 Feb 2019,,,,,,,24 Mar 2019,"This is my dream school! If you accept another offer, please let them know. Thanks so much!!"
"Washington University, St. Louis (WUSTL)",English,PhD (F19),Accepted, E-mail,15 Feb 2019,,,,,,,24 Mar 2019,
Georgetown University,English,Masters (F19),Accepted, E-mail,21 Mar 2019,,,,,,A,23 Mar 2019,"Unfunded. Email said all offers for funding have gone out. Flattered and really wanting to go, but can't attend without money, sadly!"
Fordham University,English,PhD (F19),Wait listed, Website,23 Mar 2019,,,,,,A,23 Mar 2019,
Columbia University,Teaching English,Masters (F19),Other, Other,22 Mar 2019,,,,,,U,22 Mar 2019,What about masters in teaching English ( non-certification track) have anyone heard from them?
Columbia University,English And Comparative Literature,Masters (F18),Accepted, Website,21 Mar 2019,,,,,,A,22 Mar 2019,Philosophy undergrad.
Georgetown University,English,Masters (F19),Rejected, E-mail,22 Mar 2019,,,,,,,22 Mar 2019,
Lehigh University,English,Masters (F19),Accepted, E-mail,22 Mar 2019,,,,,,,22 Mar 2019,Accepted off the wait list this morning!!!!! I am so beyond happy--this was my top choice!!!!!
Lehigh University,English,Masters (F19),Accepted, E-mail,25 Feb 2019,,,,,,A,22 Mar 2019,"Accepted with TA-ship, full funding. Will be turning offer down for PhD program."
University Of Virginia (UVA),English,PhD (F19),Wait listed, E-mail,21 Mar 2019,  3.83,170.0,161.0,5.5,690,A,22 Mar 2019,"finally the official waitlist notification! (for anyone waiting to hear from UVA in future years: many of us emailed them several weeks ago and found out we were waitlisted, they were happy to update us. if youÃ¢ÂÂre in limbo, reach out! also, for future reference: seems like a very long waitlist fwiw.) 2a/2w/3r"
University Of British Columbia (UBC),English,Masters (F19),Other, Other,22 Mar 2019,,,,,,I,22 Mar 2019,"Has anyone heard from UBC English department? Since the Jan 4 deadline, my portal still says 'in progress'"
University Of Virginia (UVA),English,PhD (F19),Wait listed, E-mail,22 Mar 2019,,,,,,A,21 Mar 2019,STILL. SHAKING.
